version,L,p,valley_err_med,peak_err_med,lsd_lo_med,lsd_hi_med
raw,40,0.0,0.0020,-0.0000,0.0001,0.0302
raw,40,0.25,-0.1126,-0.0358,2.1359,1.8387
raw,40,0.5,-0.0973,0.0418,4.0343,3.4302
raw,40,0.75,0.0300,0.2027,5.7517,4.9325
raw,40,1.0,0.2132,0.4384,7.4238,6.3475
raw,25,0.0,0.0552,0.0009,0.0423,0.2317
raw,25,0.25,-0.0318,-0.0331,2.1361,1.8621
raw,25,0.5,-0.0221,0.0448,4.0344,3.4423
raw,25,0.75,0.0767,0.2061,5.7517,4.9394
raw,25,1.0,0.2545,0.4421,7.4239,6.3540
raw,15,0.0,0.3448,0.0242,0.1137,0.7352
raw,15,0.25,0.2546,-0.0010,2.1339,2.0316
raw,15,0.5,0.2485,0.0809,4.0313,3.5238
raw,15,0.75,0.3286,0.2530,5.7473,4.9641
raw,15,1.0,0.4884,0.4958,7.4190,6.3881
raw,10,0.0,0.7820,0.0708,0.1730,1.2461
raw,10,0.25,0.7039,0.0666,2.1314,2.2227
raw,10,0.5,0.6412,0.1419,4.0270,3.5918
raw,10,0.75,0.7005,0.3061,5.7422,5.0093
raw,10,1.0,0.8370,0.5448,7.4120,6.4355
rms_m30,40,0.0,0.0023,-0.0000,0.0002,0.0317
rms_m30,40,0.25,-0.0567,-0.2297,2.3194,1.9252
rms_m30,40,0.5,-0.0022,-0.3268,4.3047,3.5835
rms_m30,40,0.75,0.1608,-0.3209,6.1270,5.2179
rms_m30,40,1.0,0.4542,-0.2380,7.7889,6.8223
rms_m30,25,0.0,0.0606,0.0009,0.0645,0.2472
rms_m30,25,0.25,0.0102,-0.2280,2.3198,1.9255
rms_m30,25,0.5,0.0588,-0.3242,4.3053,3.6017
rms_m30,25,0.75,0.2282,-0.3172,6.1278,5.2232
rms_m30,25,1.0,0.4963,-0.2334,7.7895,6.8274
rms_m30,15,0.0,0.3612,0.0246,0.1338,0.7568
rms_m30,15,0.25,0.3259,-0.1901,2.3224,1.9954
rms_m30,15,0.5,0.3190,-0.2723,4.3065,3.7503
rms_m30,15,0.75,0.5085,-0.2537,6.1354,5.2725
rms_m30,15,1.0,0.7918,-0.1588,7.7951,6.8421
rms_m30,10,0.0,0.7923,0.0714,0.1978,1.2617
rms_m30,10,0.25,0.7666,-0.1176,2.3232,2.2401
rms_m30,10,0.5,0.7389,-0.2021,4.3015,3.8770
rms_m30,10,0.75,0.8735,-0.1846,6.1470,5.3467
rms_m30,10,1.0,1.1297,-0.0912,7.8056,6.8468
rms_m24,40,0.0,0.0023,-0.0000,0.0002,0.0317
rms_m24,40,0.25,-0.0059,-0.2473,2.2110,1.9080
rms_m24,40,0.5,0.0644,-0.3561,4.1279,3.7026
rms_m24,40,0.75,0.2230,-0.3309,5.9889,5.3720
rms_m24,40,1.0,0.5317,-0.1692,7.7105,6.8524
rms_m24,25,0.0,0.0606,0.0009,0.0645,0.2472
rms_m24,25,0.25,0.0577,-0.2456,2.2118,1.9212
rms_m24,25,0.5,0.1226,-0.3535,4.1285,3.7108
rms_m24,25,0.75,0.2769,-0.3309,5.9896,5.3727
rms_m24,25,1.0,0.5735,-0.1691,7.7112,6.8530
rms_m24,15,0.0,0.3612,0.0246,0.1338,0.7568
rms_m24,15,0.25,0.3738,-0.2083,2.2159,2.0439
rms_m24,15,0.5,0.4692,-0.3042,4.1302,3.7623
rms_m24,15,0.75,0.6048,-0.2995,5.9917,5.3778
rms_m24,15,1.0,0.8213,-0.1674,7.7179,6.8569
rms_m24,10,0.0,0.7923,0.0714,0.1978,1.2617
rms_m24,10,0.25,0.8886,-0.1345,2.2197,2.2735
rms_m24,10,0.5,0.8376,-0.2319,4.1262,3.9049
rms_m24,10,0.75,1.0796,-0.2277,5.9839,5.3864
rms_m24,10,1.0,1.3255,-0.1453,7.7284,6.8608
peak_m6,40,0.0,0.0020,-0.0000,0.0001,0.0302
peak_m6,40,0.25,0.0524,-0.0789,2.1829,1.9083
peak_m6,40,0.5,0.2233,-0.0279,4.1428,3.6776
peak_m6,40,0.75,0.4615,0.1360,6.0399,5.3577
peak_m6,40,1.0,0.7765,0.4053,7.7344,6.9459
peak_m6,25,0.0,0.0552,0.0009,0.0423,0.2317
peak_m6,25,0.25,0.1039,-0.0764,2.1833,1.9293
peak_m6,25,0.5,0.2631,-0.0256,4.1431,3.6838
peak_m6,25,0.75,0.4988,0.1391,6.0405,5.3610
peak_m6,25,1.0,0.8081,0.4066,7.7351,6.9489
peak_m6,15,0.0,0.3448,0.0242,0.1137,0.7352
peak_m6,15,0.25,0.3968,-0.0516,2.1854,2.1033
peak_m6,15,0.5,0.5108,0.0110,4.1439,3.7291
peak_m6,15,0.75,0.7264,0.1816,6.0450,5.3907
peak_m6,15,1.0,1.0221,0.4293,7.7386,6.9750
peak_m6,10,0.0,0.7820,0.0708,0.1730,1.2461
peak_m6,10,0.25,0.8672,0.0073,2.1876,2.2481
peak_m6,10,0.5,0.9510,0.0676,4.1415,3.8733
peak_m6,10,0.75,1.1170,0.2359,6.0435,5.4385
peak_m6,10,1.0,1.3950,0.4825,7.7383,7.0046
